name,short_name,vendor,format,is_instrument,primary_category_v10_6,categories_v10_6,instrument_type_v10_6,confidence_v10,needs_review_v10,primary_category_v11,categories_v11,instrument_type_v11,confidence_v11,needs_review_v11,web_verified_v11,notes_v11,idx,ident,primary_category_v6,categories_v6,primary_category_v10,categories_v10,use_cases_v10,rationale_v10,notes_v10,instrument_type_v1,instrument_tags_v1,instrument_confidence_v1,instrument_reason_v1,primary_category_v10_5,categories_v10_5,primary_category_v10_5_norm,categories_v10_5_norm_list,instrument_type_v2,instrument_tags_v2,instrument_confidence_v2,instrument_reason_v2,instrument_tags_v10_6,instrument_confidence_v10_6,instrument_reason_v10_6,needs_review,mismatch_score,web_verified_bool,__cluster,verified_integrity_v11,integrity_issues_v11,verified_auto_strict_v11,verified_auto_strict_reason_v11,verified_v11,verified_v11_level
VST: dblue Glitch v1.3 (x86) (dblue),dblue Glitch v1.3,dblue,VST,False,Glitch/Granular,Glitch; Glitch/Granular,,high,False,Glitch/Granular,Glitch;Glitch/Granular,,high,False,False,,284,C:\Program Files (x86)\Steinberg\VSTPlugins\dblue_Glitch_v1_3.dll,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular,Glitch;Glitch/Granular,IDM,v6 glitch/gran/spectral,Name indicates glitch/granular processing.,,,,,Glitch/Granular,Glitch;Glitch/Granular,Glitch/Granular,"['Glitch', 'Glitch/Granular']",,,,,,,,False,0.0,False,dblue|dblue glitch v1.3,True,,True,name/format heuristic,True,auto_strict
VST: dblue Stretch v1.1 (x86) (dblue),dblue Stretch v1.1,dblue,VST,False,Time/Time Stretch,Time; Time/Time Stretch,,high,False,Time/Time Stretch,Time;Time/Time Stretch,,high,False,False,,285,C:\Program Files (x86)\Steinberg\VSTPlugins\dblue_Stretch.dll,Pitch/Time,Pitch/Time,Time: Time Stretch,Time,FX,v6 pitch/time,No strong keyword match; needs review.; Existing time category.,,,,,Time: Time Stretch,Time,Time/Time Stretch,['Time'],,,,,,,,False,0.0,False,dblue|dblue stretch v1.1,True,,True,name/format heuristic,True,auto_strict
VST: dblue.TapeStop (x86) (dblue),dblue.TapeStop,dblue,VST,False,Saturation/Tape,Saturation; Saturation/Tape; Tape,,high,False,Saturation/Tape,Saturation;Saturation/Tape;Tape,,high,False,False,,286,C:\Program Files (x86)\Steinberg\VSTPlugins\dblue_TapeStop.dll,Utility/Routing,Utility/Routing,Saturation: Tape,Saturation;Tape,Coloring bus;FX bus,override v6->Saturation/Distortion by name keyword | v6 sat/dist,No strong keyword match; needs review.; Saturation plugin with tape keyword.,,,,,Saturation: Tape,Saturation;Tape,Saturation/Tape,"['Saturation', 'Tape']",,,,,,,,False,0.0,False,dblue|dblue.tapestop,True,,True,sat_kw,True,auto_strict
VST3: DC1A3 (Klanghelm),DC1A3,Klanghelm,VST3,False,Dynamics/Compressor,Dynamics/Compressor; Dynamics/Compressor/VCA,,high,False,Dynamics/Compressor,Dynamics/Compressor;Dynamics/Compressor/VCA,,high,False,False,,287,C:\Program Files\Common Files\VST3\DC1A3.vst3,Dynamics,Dynamics,Dynamics/Compressor,Dynamics/Compressor;Dynamics/Compressor/VCA,Bus/Tracks;Bus/Groups,verified: compressor,,,,,,Dynamics/Compressor,Dynamics/Compressor;Dynamics/Compressor/VCA,Dynamics/Compressor,"['Dynamics/Compressor', 'Dynamics/Compressor/VCA']",,,,,,,,False,0.0,False,klanghelm|dc1a3,True,,True,name/format heuristic,True,auto_strict
VST: DCVoltage (airwindows),DCVoltage,airwindows,VST,False,Saturation/General,Saturation; Saturation/General,,high,False,Saturation/General,Saturation;Saturation/General,,high,False,False,,288,C:\Program Files\Common Files\VST2\Airwindows\DCVoltage64.dll,Saturation/Distortion,Saturation/Distortion,Saturation: General,Saturation,Coloring bus;FX bus,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,Airwindows plugin type unclear from name; grouped as experimental/utility.; General saturation.,,,,,Saturation: General,Saturation,Saturation/General,['Saturation'],,,,,,,,False,0.0,False,airwindows|dcvoltage,True,,True,airwindows heuristic,True,auto_strict
VST: DD Channel (Dead Duck Software),DD Channel,Dead Duck Software,VST,False,Dynamics/GateExpander,Dynamics/GateExpander,,high,False,ChannelStrip,Dynamics/GateExpander,,high,False,True,,289,C:\Program Files\Common Files\VST2\DD Channel.dll,Dynamics,Dynamics,Dynamics/GateExpander,Dynamics/GateExpander,Bus/Groups;Bus/Tracks,gate keyword,,,,,,Dynamics/GateExpander,Dynamics/GateExpander,Dynamics/GateExpander,['Dynamics/GateExpander'],,,,,,,,False,0.0,False,dead duck software|dd channel,True,,False,,True,web
VST: DeBess (airwindows),DeBess,airwindows,VST,False,Dynamics/DeEsser,Dynamics/DeEsser; EQ/Parametric,,high,False,Dynamics/DeEsser,Dynamics/DeEsser;EQ/Parametric,,high,False,False,,290,C:\Program Files\Common Files\VST2\Airwindows\DeBess64.dll,Saturation/Distortion,Saturation/Distortion,Dynamics/DeEsser,Dynamics/DeEsser;EQ/Parametric,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Dynamics/DeEsser,Dynamics/DeEsser;EQ/Parametric,Dynamics/DeEsser,"['Dynamics/DeEsser', 'EQ/Parametric']",,,,,,,,False,0.0,False,airwindows|debess,True,,True,keyword: de-esser,True,auto_strict
VST: Deckwrecka (airwindows),Deckwrecka,airwindows,VST,False,LoFi/Degrade,LoFi/Degrade; Saturation/General,,high,False,LoFi/Degrade,LoFi/Degrade;Saturation/General,,high,False,False,,291,C:\Program Files\Common Files\VST2\Airwindows\Deckwrecka64.dll,Saturation/Distortion,Saturation/Distortion,LoFi/Degrade,LoFi/Degrade;Saturation/General,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,LoFi/Degrade,LoFi/Degrade;Saturation/General,LoFi/Degrade,"['LoFi/Degrade', 'Saturation/General']",,,,,,,,False,0.0,False,airwindows|deckwrecka,True,,True,keyword: degrade/bit reduction,True,auto_strict
VST3: Deelay (Sixth Sample),Deelay,Sixth Sample,VST3,False,Guitar/Amp_Cab,Amp; Guitar; Guitar/Amp_Cab,,high,False,Delay/Glitch_Buffer,Amp;Guitar;Guitar/Amp_Cab,,high,False,True,,292,C:\Program Files\Common Files\VST3\Deelay.vst3\Contents\x86_64-win\Deelay.vst3,Utility/Routing,Utility/Routing,Guitar: Amp/Cab,Amp;Guitar,Guitar/bass,override v6->Amp/Cab/Guitar by name keyword | v6 amp,No strong keyword match; needs review.; Existing amp category.,,,,,Guitar: Amp/Cab,Amp;Guitar,Guitar/Amp_Cab,"['Amp', 'Guitar']",,,,,,,,False,0.0,False,sixth sample|deelay,True,,False,,True,web
VST: DeEss (airwindows),DeEss,airwindows,VST,False,Dynamics/DeEsser,Dynamics/DeEsser,,high,False,Dynamics/DeEsser,Dynamics/DeEsser,,high,False,False,,293,C:\Program Files\Common Files\VST2\Airwindows\DeEss64.dll,Dynamics,Dynamics,Dynamics/DeEsser,Dynamics/DeEsser,,deesser keyword,,,,,,Dynamics/DeEsser,Dynamics/DeEsser,Dynamics/DeEsser,['Dynamics/DeEsser'],,,,,,,,False,1.0,False,airwindows|deess,True,,True,keyword: de-esser,True,auto_strict
VST3: Deft Compressor (Voxengo),Deft Compressor,Voxengo,VST3,False,Dynamics/Compressor,Dynamics; Dynamics/Compressor,,high,False,Dynamics/Compressor,Dynamics;Dynamics/Compressor,,high,False,False,,294,C:\Program Files\Common Files\VST3\Deft Compressor.vst3,Dynamics,Dynamics,Dynamics: Compressor,Dynamics;Dynamics: Compressor,Control,compressor keyword,Name indicates compressor.,,,,,Dynamics: Compressor,Dynamics;Dynamics: Compressor,Dynamics/Compressor,"['Dynamics', 'Dynamics/Compressor']",,,,,,,,False,0.0,False,voxengo|deft compressor,True,,True,comp_kw,True,auto_strict
VST: Deft Compressor (Voxengo) (8ch),Deft Compressor (Voxengo) (8ch),Voxengo,VST,False,Dynamics/Compressor,Dynamics; Dynamics/Compressor,,high,False,Dynamics/Compressor,Dynamics;Dynamics/Compressor,,high,False,False,,295,C:\Program Files\Common Files\VST2\Voxengo\Deft Compressor.dll,Dynamics,Dynamics,Dynamics: Compressor,Dynamics;Dynamics: Compressor,Control,compressor keyword,Name indicates compressor.,,,,,Dynamics: Compressor,Dynamics;Dynamics: Compressor,Dynamics/Compressor,"['Dynamics', 'Dynamics/Compressor']",,,,,,,,False,0.0,False,voxengo|deft compressor (voxengo) (8ch),True,,True,comp_kw,True,auto_strict
VST: DeHiss (airwindows),DeHiss,airwindows,VST,False,Restoration/De-noise_De-hiss,Restoration; Restoration/De-noise_De-hiss,,high,False,Restoration/De-noise_De-hiss,Restoration;Restoration/De-noise_De-hiss,,high,False,False,,296,C:\Program Files\Common Files\VST2\Airwindows\DeHiss64.dll,Saturation/Distortion,Saturation/Distortion,Restoration: De-noise/De-hiss,Restoration;Restoration: De-noise/De-hiss,Cleanup,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,Name indicates noise reduction.,,,,,Restoration: De-noise/De-hiss,Restoration;Restoration: De-noise/De-hiss,Restoration/De-noise_De-hiss,"['Restoration', 'Restoration/De-noise_De-hiss']",,,,,,,,False,0.0,False,airwindows|dehiss,True,,True,keyword: de-hiss,True,auto_strict
VST3: Delay M-ST (Yuri Semenov),Delay M-ST,Yuri Semenov,VST3,False,Delay/Echo,Delay; Delay/Echo,,high,False,Delay/Echo,Delay;Delay/Echo,,high,False,False,,297,C:\Program Files\Common Files\VST3\Delay M-ST\Delay M-ST.vst3,Delay,Delay,Delay,Delay,FX,v6 delay,Name indicates delay/echo.,,,,,Delay,Delay,Delay,['Delay'],,,,,,,,False,0.0,False,yuri semenov|delay m-st,True,,True,delay_kw,True,auto_strict
VST3: Delay ST (Yuri Semenov),Delay ST,Yuri Semenov,VST3,False,Delay/Echo,Delay; Delay/Echo,,high,False,Delay/Echo,Delay;Delay/Echo,,high,False,False,,298,C:\Program Files\Common Files\VST3\Delay ST\Delay ST.vst3,Delay,Delay,Delay,Delay,FX,v6 delay,Name indicates delay/echo.,,,,,Delay,Delay,Delay,['Delay'],,,,,,,,False,0.0,False,yuri semenov|delay st,True,,True,delay_kw,True,auto_strict
VST: Density (airwindows),Density,airwindows,VST,False,Distortion/Overdrive,Distortion/Overdrive; Saturation/General,,high,False,Distortion/Overdrive_Distortion,Distortion/Overdrive;Saturation/General,,high,False,False,,299,C:\Program Files\Common Files\VST2\Airwindows\Density64.dll,Saturation/Distortion,Saturation/Distortion,Distortion/Overdrive,Distortion/Overdrive;Saturation/General,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Distortion/Overdrive,Distortion/Overdrive;Saturation/General,Distortion/Overdrive,"['Distortion/Overdrive', 'Saturation/General']",,,,,,,,False,0.0,False,airwindows|density,True,,True,keyword: density distortion/saturation,True,auto_strict
VST: Density2 (airwindows),Density2,airwindows,VST,False,Distortion/Overdrive,Distortion/Overdrive; Saturation/General,,high,False,Distortion/Overdrive_Distortion,Distortion/Overdrive;Saturation/General,,high,False,False,,300,C:\Program Files\Common Files\VST2\Airwindows\Density264.dll,Saturation/Distortion,Saturation/Distortion,Distortion/Overdrive,Distortion/Overdrive;Saturation/General,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Distortion/Overdrive,Distortion/Overdrive;Saturation/General,Distortion/Overdrive,"['Distortion/Overdrive', 'Saturation/General']",,,,,,,,False,0.0,False,airwindows|density2,True,,True,keyword: density distortion/saturation,True,auto_strict
VST: DeRez (airwindows),DeRez,airwindows,VST,False,LoFi/Bitcrush,LoFi/Bitcrush; Saturation/General,,high,False,LoFi/Degrade,LoFi/Bitcrush;Saturation/General,,high,False,False,,301,C:\Program Files\Common Files\VST2\Airwindows\DeRez64.dll,LoFi/Degrade,LoFi/Degrade,LoFi/Bitcrush,LoFi/Bitcrush;Saturation/General,,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,LoFi/Bitcrush,LoFi/Bitcrush;Saturation/General,LoFi/Bitcrush,"['LoFi/Bitcrush', 'Saturation/General']",,,,,,,,False,0.0,False,airwindows|derez,True,,True,keyword: degrade/bit reduction,True,auto_strict
VST: DeRez2 (airwindows),DeRez2,airwindows,VST,False,LoFi/Bitcrush,LoFi/Bitcrush; Saturation/General,,high,False,LoFi/Degrade,LoFi/Bitcrush;Saturation/General,,high,False,False,,302,C:\Program Files\Common Files\VST2\Airwindows\DeRez264.dll,Saturation/Distortion,Saturation/Distortion,LoFi/Bitcrush,LoFi/Bitcrush;Saturation/General,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,LoFi/Bitcrush,LoFi/Bitcrush;Saturation/General,LoFi/Bitcrush,"['LoFi/Bitcrush', 'Saturation/General']",,,,,,,,False,0.0,False,airwindows|derez2,True,,True,keyword: degrade/bit reduction,True,auto_strict
VST: DeRez3 (airwindows),DeRez3,airwindows,VST,False,LoFi/Degrade,LoFi/Degrade; Saturation/General,,high,False,LoFi/Degrade,LoFi/Degrade;Saturation/General,,high,False,False,,303,C:\Program Files\Common Files\VST2\Airwindows\DeRez364.dll,Saturation/Distortion,Saturation/Distortion,LoFi/Degrade,LoFi/Degrade;Saturation/General,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,LoFi/Degrade,LoFi/Degrade;Saturation/General,LoFi/Degrade,"['LoFi/Degrade', 'Saturation/General']",,,,,,,,False,0.0,False,airwindows|derez3,True,,True,keyword: degrade/bit reduction,True,auto_strict
VST: Desk (airwindows),Desk,airwindows,VST,False,Saturation/Console_Channel,Saturation/Console_Channel; Saturation/General; Utility/Other,,high,False,Saturation/Console_Channel,Saturation/Console_Channel;Saturation/General;Utility/Other,,high,False,False,,304,C:\Program Files\Common Files\VST2\Airwindows\Desk64.dll,MultiFX/ChannelStrip,MultiFX/ChannelStrip; Saturation/Distortion,Utility/Other,Saturation/General;Utility/Other,,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Utility/Other,Saturation/General;Utility/Other,Utility/Other,"['Saturation/General', 'Utility/Other']",,,,,,,,False,0.0,False,airwindows|desk,True,,True,airwindows heuristic,True,auto_strict
VST: Desk4 (airwindows),Desk4,airwindows,VST,False,Saturation/General,Saturation/General,,high,False,Saturation/General,Saturation/General,,high,False,False,,305,C:\Program Files\Common Files\VST2\Airwindows\Desk464.dll,MultiFX/ChannelStrip,MultiFX/ChannelStrip; Saturation/Distortion,Saturation/General,Saturation/General,,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Saturation/General,Saturation/General,Saturation/General,['Saturation/General'],,,,,,,,False,0.0,False,airwindows|desk4,True,,True,airwindows heuristic,True,auto_strict
VST3i: Dexed (Digital Suburban),Dexed,Digital Suburban,VST3I,True,Instrument/Synth/FM,FM; Instrument; Instrument/Synth/FM; InstrumentTag/FM; InstrumentTag/Instrument; InstrumentTag/Synth; Synth,Instrument/Synth/FM,high,False,Instrument/Synth/FM,FM;Instrument;Instrument/Synth/FM;InstrumentTag/FM;InstrumentTag/Instrument;InstrumentTag/Synth;Synth,Instrument/Synth/FM,high,False,False,,306,C:\Program Files\Common Files\VST3\Dexed.vst3\Contents\x86_64-win\Dexed.vst3,Instruments,Instruments,Instrument,Instrument,Instrument,v6 instrument,,Instrument/Synth/FM,Instrument;Synth;FM,high,Dexed is an FM synthesizer.,Instrument/Synth/FM,FM;Instrument;Synth,Instrument/Synth/FM,"['FM', 'Instrument', 'Synth']",Instrument/Synth/FM,fm,medium,Name indicates FM synthesis.,Instrument;Synth;FM,high,Dexed is an FM synthesizer.,False,0.0,False,digital suburban|dexed,True,,True,instrument format,True,auto_strict
VST: DigitalBlack (airwindows),DigitalBlack,airwindows,VST,False,Saturation/General,Saturation; Saturation/General,,high,False,Saturation/General,Saturation;Saturation/General,,high,False,False,,307,C:\Program Files\Common Files\VST2\Airwindows\DigitalBlack64.dll,Saturation/Distortion,Saturation/Distortion,Saturation: General,Saturation,Coloring bus;FX bus,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,Airwindows plugin type unclear from name; grouped as experimental/utility.; General saturation.,,,,,Saturation: General,Saturation,Saturation/General,['Saturation'],,,,,,,,False,0.0,False,airwindows|digitalblack,True,,True,airwindows heuristic,True,auto_strict
VST: Dirt (airwindows),Dirt,airwindows,VST,False,Saturation/General,Saturation/General,,high,False,Saturation/General,Saturation/General,,high,False,False,,308,C:\Program Files\Common Files\VST2\Airwindows\Dirt64.dll,Saturation/Distortion,Saturation/Distortion,Saturation/General,Saturation/General,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Saturation/General,Saturation/General,Saturation/General,['Saturation/General'],,,,,,,,False,0.0,False,airwindows|dirt,True,,True,airwindows heuristic,True,auto_strict
VST: Discontinuity (airwindows),Discontinuity,airwindows,VST,False,Saturation/General,Saturation; Saturation/General,,high,False,Saturation/General,Saturation;Saturation/General,,high,False,False,,309,C:\Program Files\Common Files\VST2\Airwindows\Discontinuity64.dll,Saturation/Distortion,Saturation/Distortion,Saturation: General,Saturation,Coloring bus;FX bus,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,Airwindows plugin type unclear from name; grouped as experimental/utility.; General saturation.,,,,,Saturation: General,Saturation,Saturation/General,['Saturation'],,,,,,,,False,0.0,False,airwindows|discontinuity,True,,True,airwindows heuristic,True,auto_strict
"VST: Discord 3 (Audio Damage, Inc.)",Discord 3,"Audio Damage, Inc.",VST,False,Utility/Routing,Utility/Routing,,high,False,Pitch/PitchShift,Utility/Routing,,high,False,True,,310,C:\Program Files\Steinberg\VSTPlugins\Audio Damage\Discord 3.dll,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing,v6 utility,,,,,,Utility/Routing,Utility/Routing,Utility/Routing,['Utility/Routing'],,,,,,,,False,0.0,False,"audio damage, inc.|discord 3",True,,False,,True,web
VST: Disintegrate (airwindows),Disintegrate,airwindows,VST,False,Saturation/General,Saturation; Saturation/General,,high,False,Saturation/General,Saturation;Saturation/General,,high,False,False,,311,C:\Program Files\Common Files\VST2\Airwindows\Disintegrate64.dll,Saturation/Distortion,Saturation/Distortion,Saturation: General,Saturation,Coloring bus;FX bus,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,Airwindows plugin type unclear from name; grouped as experimental/utility.; General saturation.,,,,,Saturation: General,Saturation,Saturation/General,['Saturation'],,,,,,,,False,0.0,False,airwindows|disintegrate,True,,True,airwindows heuristic,True,auto_strict
VST: Distance (airwindows),Distance,airwindows,VST,False,Filter/Multimode,EQ/Parametric; Filter/Multimode,,high,False,Filter/Multimode,EQ/Parametric;Filter/Multimode,,high,False,False,,312,C:\Program Files\Common Files\VST2\Airwindows\Distance64.dll,Spatial/Imaging,Spatial/Imaging,Filter/Multimode,EQ/Parametric;Filter/Multimode,,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Filter/Multimode,EQ/Parametric;Filter/Multimode,Filter/Multimode,"['EQ/Parametric', 'Filter/Multimode']",,,,,,,,False,0.0,False,airwindows|distance,True,,True,airwindows heuristic,True,auto_strict
VST: Distance2 (airwindows),Distance2,airwindows,VST,False,Filter/Multimode,EQ/Parametric; Filter/Multimode,,high,False,Filter/Multimode,EQ/Parametric;Filter/Multimode,,high,False,False,,313,C:\Program Files\Common Files\VST2\Airwindows\Distance264.dll,Saturation/Distortion,Saturation/Distortion,Filter/Multimode,EQ/Parametric;Filter/Multimode,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Filter/Multimode,EQ/Parametric;Filter/Multimode,Filter/Multimode,"['EQ/Parametric', 'Filter/Multimode']",,,,,,,,False,0.0,False,airwindows|distance2,True,,True,airwindows heuristic,True,auto_strict
VST: Distance3 (airwindows),Distance3,airwindows,VST,False,Filter/Multimode,EQ/Parametric; Filter/Multimode,,high,False,Filter/Multimode,EQ/Parametric;Filter/Multimode,,high,False,False,,314,C:\Program Files\Common Files\VST2\Airwindows\Distance364.dll,Saturation/Distortion,Saturation/Distortion,Filter/Multimode,EQ/Parametric;Filter/Multimode,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Filter/Multimode,EQ/Parametric;Filter/Multimode,Filter/Multimode,"['EQ/Parametric', 'Filter/Multimode']",,,,,,,,False,0.0,False,airwindows|distance3,True,,True,airwindows heuristic,True,auto_strict
VST: Distortion (airwindows),Distortion,airwindows,VST,False,Distortion/Distortion,Distortion/Distortion; FX/Distortion,,high,False,Distortion/Distortion,Distortion/Distortion;FX/Distortion,,high,False,False,,315,C:\Program Files\Common Files\VST2\Airwindows\Distortion64.dll,Saturation/Distortion,Saturation/Distortion,Distortion/Distortion,Distortion/Distortion;FX/Distortion,Bus/Coloring;Bus/FX,v6 sat/dist,,,,,,Distortion/Distortion,Distortion/Distortion;FX/Distortion,Distortion/Distortion,"['Distortion/Distortion', 'FX/Distortion']",,,,,,,,False,0.0,False,airwindows|distortion,True,,True,airwindows heuristic,True,auto_strict
VST3: Distox (AnalogObsession),Distox,AnalogObsession,VST3,False,ChannelStrip,ChannelStrip,,high,False,ChannelStrip,ChannelStrip,,high,False,False,,316,C:\Program Files\Common Files\VST3\Distox.vst3\Contents\x86_64-win\Distox.vst3,MultiFX/ChannelStrip,MultiFX/ChannelStrip,ChannelStrip,ChannelStrip,Tracks;Bus,v6 multix,No strong keyword match; needs review.; Existing category indicates channelstrip.,,,,,ChannelStrip,ChannelStrip,ChannelStrip,['ChannelStrip'],,,,,,,,False,0.0,False,analogobsession|distox,True,,True,name/format heuristic,True,auto_strict
VST: Ditherbox (airwindows),Ditherbox,airwindows,VST,False,Mastering/Dither,Mastering/Dither,,high,False,Mastering/Dither,Mastering/Dither,,high,False,False,,317,C:\Program Files\Common Files\VST2\Airwindows\Ditherbox64.dll,Dither/NoiseShaping,Dither/NoiseShaping,Mastering/Dither,Mastering/Dither,,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Mastering/Dither,Mastering/Dither,Mastering/Dither,['Mastering/Dither'],,,,,,,,False,0.0,False,airwindows|ditherbox,True,,True,name/format heuristic,True,auto_strict
VST: DitherFloat (airwindows),DitherFloat,airwindows,VST,False,Mastering/Dither,Mastering/Dither,,high,False,Mastering/Dither,Mastering/Dither,,high,False,False,,318,C:\Program Files\Common Files\VST2\Airwindows\DitherFloat64.dll,Dither/NoiseShaping,Dither/NoiseShaping,Mastering/Dither,Mastering/Dither,,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Mastering/Dither,Mastering/Dither,Mastering/Dither,['Mastering/Dither'],,,,,,,,False,0.0,False,airwindows|ditherfloat,True,,True,name/format heuristic,True,auto_strict
VST: DitherMeDiskers (airwindows),DitherMeDiskers,airwindows,VST,False,Mastering/Dither,Mastering/Dither,,high,False,Mastering/Dither,Mastering/Dither,,high,False,False,,319,C:\Program Files\Common Files\VST2\Airwindows\DitherMeDiskers64.dll,Dither/NoiseShaping,Dither/NoiseShaping,Mastering/Dither,Mastering/Dither,,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Mastering/Dither,Mastering/Dither,Mastering/Dither,['Mastering/Dither'],,,,,,,,False,0.0,False,airwindows|dithermediskers,True,,True,name/format heuristic,True,auto_strict
VST: DitherMeTimbers (airwindows),DitherMeTimbers,airwindows,VST,False,Mastering/Dither,Mastering/Dither,,high,False,Mastering/Dither,Mastering/Dither,,high,False,False,,320,C:\Program Files\Common Files\VST2\Airwindows\DitherMeTimbers64.dll,Dither/NoiseShaping,Dither/NoiseShaping,Mastering/Dither,Mastering/Dither,,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Mastering/Dither,Mastering/Dither,Mastering/Dither,['Mastering/Dither'],,,,,,,,False,0.0,False,airwindows|dithermetimbers,True,,True,name/format heuristic,True,auto_strict
VST3: DLYM (Imaginando),DLYM,Imaginando,VST3,False,Delay,Delay,,high,False,Delay,Delay,,high,False,False,,321,C:\Program Files\Common Files\VST3\Imaginando\DLYM.vst3\Contents\x86_64-win\DLYM.vst3,Delay,Delay; Modulation,Delay,Delay,FX,v6 delay,No strong keyword match; needs review.; Existing delay category.,,,,,Delay,Delay,Delay,['Delay'],,,,,,,,False,0.0,False,imaginando|dlym,True,,True,name/format heuristic,True,auto_strict
VST: DLYM (Imaginando),DLYM,Imaginando,VST,False,Delay,Delay,,high,False,Delay,Delay,,high,False,False,,322,C:\Program Files\Common Files\VST2\Imaginando\DLYM.dll,Delay,Delay; Modulation,Delay,Delay,FX,v6 delay,No strong keyword match; needs review.; Existing delay category.,,,,,Delay,Delay,Delay,['Delay'],,,,,,,,False,0.0,False,imaginando|dlym,True,,True,name/format heuristic,True,auto_strict
VST: Doublelay (airwindows),Doublelay,airwindows,VST,False,Delay/Standard,Delay; Delay/Standard,,high,False,Delay/Standard,Delay;Delay/Standard,,high,False,False,,323,C:\Program Files\Common Files\VST2\Airwindows\Doublelay64.dll,Saturation/Distortion,Saturation/Distortion,Delay: Standard,Delay;Delay: Standard,Dub delay;IDM rhythmic,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,Name indicates delay/doubling.,,,,,Delay: Standard,Delay;Delay: Standard,Delay/Standard,"['Delay', 'Delay/Standard']",,,,,,,,False,0.0,False,airwindows|doublelay,True,,True,name/format heuristic,True,auto_strict
VST: DoublePaul (airwindows),DoublePaul,airwindows,VST,False,Mastering/Dither,Mastering/Dither,,high,False,Mastering/Dither,Mastering/Dither,,high,False,False,,324,C:\Program Files\Common Files\VST2\Airwindows\DoublePaul64.dll,Saturation/Distortion,Saturation/Distortion,Mastering/Dither,Mastering/Dither,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Mastering/Dither,Mastering/Dither,Mastering/Dither,['Mastering/Dither'],,,,,,,,False,0.0,False,airwindows|doublepaul,True,,True,name/format heuristic,True,auto_strict
VST3: dpMeter5 (TBProAudio) (6ch),dpMeter5 (TBProAudio) (6ch),TBProAudio,VST3,False,Analysis/Metering,Analysis/Metering; Utility/Routing,,high,False,Analysis/Metering,Analysis/Metering;Utility/Routing,,high,False,False,,325,C:\Program Files\Common Files\VST3\TBProAudio\dpMeter5.vst3,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing,v6 utility,,,,,,Utility/Routing,Utility/Routing,Utility/Routing,['Utility/Routing'],,,,,,,,False,0.9,False,tbproaudio|dpmeter5 (tbproaudio) (6ch),True,,True,name/format heuristic,True,auto_strict
